Year,M,Month,Role,Description,
each,3.5,March/April,All,Submit expense reimbursement request through Concur in accordance with Region travel policy,
each,3.5,March/April,All,Plan meetings (if any) in conjunction with Region Committee as approved by Region Director,
each,3.5,March/April,All,Submit expense forms in accordance with Region travel policy,
each,3.5,March/April,All,Facilitate the Financial Audit of the Region 3 Financial Records.,
each,3.5,March/April,Area Chair,Meetings in conjunction with Region Committee Meeting,
each,3.5,March/April,Awards,Awards presentation at SoutheastCon,
each,3.5,March/April,Conference,Solicit invitations from sections for Annual Conference (SoutheastCon),
each,3.5,March/April,Conference,Information available for next SoutheastCon at current SoutheastCon,
each,3.5,March/April,Director,ExCom & Region Committee meetings,
each,3.5,March/April,Director,Awards presentation at SoutheastCon,
each,3.5,March/April,Secretary,Mail ExCom & Region Committee meeting minutes,
each,3.5,March/April,SOSC,Support Director on Spring Region Meeting,
each,3.5,March/April,SOSC,Face-to-face meeting as part of Region Meeting,
each,3.5,March/April,SAC,Annual Student Conference,
each,3.5,March/April,SAC,Draft and distribute next year’s rules for student Hardware Contest,
each,3.5,March/April,SAC,SAC meeting in conjunction with Annual meeting,
each,3.5,March/April,SAC,Branch Chair Workshop at Annual meeting,
each,3.5,March/April,SAC,Branch Counselor’s Workshop,
each,3.5,March/April,Treasurer,Process Concur-based expenses reports per Region travel policy,
each,3.5,March/April,Area Chair,Hold Area/Area-Council meetings,
odd,3.5,March/April,N&A,March/April: N&A Chair solicits suggestions from members of the Region 3 ExCom and the Region 3 Committee. N&A will initiate review of candidates for R3 ExCom and standing committees.,
each,4,April,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,4,April,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,4,April,Director,Conduct ExCom teleconference meeting,
each,5,May,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,5,May,Director,Conduct ExCom teleconference meeting,
each,5,May,OAC,Chair of committee being audited delivers information to OAC Chair.,
each,5,May,SAC,Annual Report on Activities to Operations Center,
even,5,May,N&A,The N&A Committee Chair communicates with N&A members to confirm that the candidates conform to the minimum requirements.,
each,7,July,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,7,July,Director,Conduct ExCom teleconference meeting,
each,7,July,SOSC,SOSC Online Meeting after IEEE OU Series,
each,7,June,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,7,June,Director,Conduct ExCom teleconference meeting,
each,7,June,Awards,Issue “Call for awards nomination”,
even,7,July,N&A,The N&A Committee selects candidates to be submitted to the Region 3 ExCom.,
even,7,June,N&A,The N&A Committee members develop a list of potential candidates and determines their availability and willingness to serve if elected,
each,8,August,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,8,August,Director,Conduct ExCom teleconference meeting,
each,8,August,Director,PAC budget approval (or earlier) for PACE Workshop,
each,8,August,OAC,OAC Chair delivers the preliminary audit report to the chair of the committee(s) being audited.,
each,8,August,Newsletter Editor,Publish Newsletter,
even,8,August,ExCom,The Region 3 ExCom considers the slate of candidates submitted by the N&A Committee.,
each,8.5,August/September,Conference,Hold kickoff meeting with SoutheastCon year+1,
each,9,September,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,9,September,Director,Conduct ExCom teleconference meeting,
each,9,September,All,Submit articles to Newsletter Editor,
each,9,September,MA,Communicate recruitment programs to membership,
each,9,September,OAC,OAC Chair delivers the final audit report to the Delegate/Director.,
each,9,September,OAC,The chair of the committee(s) being audited May deliver a report to the Delegate/Director in response to the audit report.,
each,9,September,Secretary,Mail ExCom meeting notice & agenda,
even,9,September,R3 Committee,The slate of candidates from the ExCom is submitted to the Region 3 Committee for endorsement.,
each,10,October,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,10,October,Director,Conduct ExCom teleconference meeting,
each,10,October,Finance,Develop budget proposal for next year,
each,10,October,Finance,Present draft budget to ExCom,
even,10,October,Director,"Plan Planning Retreat (consider involving SOSC, Director-Elect, Past Director)",
odd,10,October,Director-Elect,"Plan Planning Retreat  (consider involving SOSC, Director, Past Director, Director-Elect-Elect)",
odd,10,October,N&A,Complete the volunteer screening for committee & special assignments.,
each,11,November,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,11,November,Director,Conduct ExCom teleconference meeting,
each,11,November,Committee Chair,"If reviewed by Operational Audit , respond to Final Report at ExCom",
each,11,November,Finance,Submit budget to ExCom for approval,
each,11,November,N&A,Region officer slate to ExCom,
each,11,November,OAC,"Complete and report Operational Audit results to SOSC, ExCom",
each,11,November,OAC,Final Report on reviewed committee(s) to Del/Director & reviewed entity/activity,
each,11,November,Treasurer,Preliminary budget (next calendar year) to Finance Committee.,
odd,11,November,Director,Recognize ExCom & ad hoc committee chairs for service rendered,
odd,11,November,N&A,Recommend appointments to incoming Delegate/Director.,
odd,11,November,N&A,Region officer slate to ExCom,
each,12,December,Secretary,"Prepare for ExCom teleconference meeting (roster, website, teleconference reservation, notice)",
each,12,December,Director,Conduct ExCom teleconference meeting,
each,12,December,Conference,Send out RFPs to potential host venues for SoutheastCon for year+4,
each,12,December,All,Submit articles to Newsletter Editor (third edition is typically optional),
each,12,December,Awards,Professional member ARC nominations deadline,
each,12,December,Director,Notify all committee & officers appointments of term completion,
each,12,December,Director,All committee/officer records transferred to incoming chairs/officers,
each,12,December,Director,Committee & officers appointments,
each,12,December,SOSC,Support Director’s Annual Strategic Planning Retreat,
each,12,December,SOSC,Support meeting and follow-ups,
each,12,December,Treasurer,Prepare the IEEE-USA Professional Development Funds Report,
even,12,December,Director,Turn in final list of candidates to IEEE Operations Center.,
even,12,December,Director,Appoint Tellers Committee to support N & A process,
even,12,December,Director,Conduct Planning Retreat,
even,12,December,Secretary,Poll Region 3 Committee. For endorsement of approved N & A slate. (CHECK - Region 3 Teleconference),
even,12,December,Director,Announce schedule for monthly ExCom meetings for next year,
odd,12,December,ExCom,Approve recommended budget for next year,
odd,12,December,Director-Elect,Conduct Planning Retreat,
odd,12,December,All,All chairs/officers: records transferred to incoming chairs/officers,
odd,12,December,All,All committee/officer records submitted to Secretary for archiving,
odd,12,December,Awards,Professional member ARC nominations deadline,
odd,12,December,Director,Outgoing Delegate/Director: Notify all committee & officers appointments of term completion,
odd,12,December,Director-Elect,Work with N&A to develop list of appointments for next year,
odd,12,December,Treasurer,Outgoing Treasuer: Prepare Annual Report for outgoing Del/Director’s signature,
odd,12,December,Treasurer,Transfer financial records to incoming Treasurer,
odd,12,December,Director-Elect,Announce schedule for monthly ExCom meetings for next year,
